icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,snapshot_time,speed_ms,speed_kmh,speed_anomaly,altitude_diff,altitude_anomaly,is_climbing,is_descending,vertical_rate_abs,vertical_anomaly,lat_bin,lon_bin
abe075,SWA713,United States,2026-04-29 13:24:01+00:00,1777469041,-90.583,29.2843,12496.8,False,270.65,103.3,-0.33,,13053.06,,False,0,2026-04-29 13:24:01+00:00,270.65,974.3399999999999,0,-556.2600000000002,0,0,1,0.33,0,11,8
346614,VOE4RJ,Spain,2026-04-29 13:24:00+00:00,1777469040,5.0813,45.8217,731.52,False,96.51,175.41,-6.83,,822.96,5725.0,False,0,2026-04-29 13:24:01+00:00,96.51,347.43600000000004,0,-91.44000000000005,0,0,1,6.83,0,14,18
346610,VLG6LF,Spain,2026-04-29 13:24:01+00:00,1777469041,-8.7337,38.836,5448.3,False,209.18,56.74,10.73,,5509.26,3356.0,False,0,2026-04-29 13:24:01+00:00,209.18,753.048,0,-60.960000000000036,0,1,0,10.73,0,12,16
346613,VOE6AM,Spain,2026-04-29 13:24:01+00:00,1777469041,7.9339,48.1521,6370.32,False,196.61,201.33,10.4,,6530.34,1000.0,False,0,2026-04-29 13:24:01+00:00,196.61,707.796,0,-160.02000000000044,0,1,0,10.4,0,14,18
346612,VOE3561,Spain,2026-04-29 13:24:01+00:00,1777469041,-8.2789,38.2173,10972.8,False,250.19,32.32,-0.33,,11140.44,4462.0,False,0,2026-04-29 13:24:01+00:00,250.19,900.684,0,-167.64000000000124,0,0,1,0.33,0,12,17
a69408,N52290,United States,2026-04-29 13:24:00+00:00,1777469040,-74.4693,41.1155,1280.16,False,53.35,140.48,-0.33,,1249.68,,False,0,2026-04-29 13:24:01+00:00,53.35,192.06,0,30.480000000000018,0,0,1,0.33,0,13,10
4ab821,NSZ3516,Sweden,2026-04-29 13:24:01+00:00,1777469041,-0.5318,51.0619,1127.76,False,105.76,340.68,-2.28,,1257.3,754.0,False,0,2026-04-29 13:24:01+00:00,105.76,380.73600000000005,0,-129.53999999999996,0,0,1,2.28,0,14,17
4ab823,NSZ3676,Sweden,2026-04-29 13:24:01+00:00,1777469041,-9.072,38.8274,11887.2,False,221.45,214.21,0.0,,12047.22,762.0,False,0,2026-04-29 13:24:01+00:00,221.45,797.22,0,-160.01999999999862,0,0,0,0.0,0,12,16
a3472f,DAL2958,United States,2026-04-29 13:24:01+00:00,1777469041,-86.1449,42.8698,10668.0,False,253.64,99.69,0.0,,10599.42,3070.0,False,0,2026-04-29 13:24:01+00:00,253.64,913.1039999999999,0,68.57999999999993,0,0,0,0.0,0,13,8
a98b76,FFT1542,United States,2026-04-29 13:24:01+00:00,1777469041,-78.1458,34.5708,10668.0,False,257.62,41.68,0.0,,11018.52,3031.0,False,0,2026-04-29 13:24:01+00:00,257.62,927.432,0,-350.52000000000044,0,0,0,0.0,0,12,9
a8bb5a,N66174,United States,2026-04-29 13:24:01+00:00,1777469041,-80.5199,26.0735,579.12,False,46.09,146.84,-1.63,,601.98,,False,0,2026-04-29 13:24:01+00:00,46.09,165.924,0,-22.860000000000014,0,0,1,1.63,0,10,9
a75da2,DAL538,United States,2026-04-29 13:24:00+00:00,1777469040,-91.9099,29.6454,10370.82,False,206.5,284.28,0.33,,10904.22,7625.0,True,0,2026-04-29 13:24:01+00:00,206.5,743.4,0,-533.3999999999996,0,1,0,0.33,0,11,8
c03938,GLR9200,Canada,2026-04-29 13:23:51+00:00,1777469038,-89.4306,49.3669,7002.78,False,114.24,1.29,3.25,,6766.56,,False,0,2026-04-29 13:24:01+00:00,114.24,411.264,0,236.21999999999935,0,1,0,3.25,0,14,8
ad2095,JBU289,United States,2026-04-29 13:24:00+00:00,1777469041,-94.2804,42.3665,10980.42,False,202.7,269.56,0.0,,10911.84,3074.0,False,0,2026-04-29 13:24:01+00:00,202.7,729.72,0,68.57999999999993,0,0,0,0.0,0,13,8
